ANO_EJE;FECHA_CORTE;SECTOR;PLIEGO;UNIDAD_EJECUTORA;SEC_EJEC;PROGRAMA_PPTAL;TIPO_PROD_PROY;PRODUCTO_PROYECTO;TIPO_ACT_OBRA_AC;ACTIV_OBRA_ACCINV;FUNCION;DIVISION_FN;GRUPO_FN;META;FINALIDAD;UNIDAD_MEDIDA;CANT_META_ANUAL;CANT_META_SEM;AVAN_FISICO_ANUAL;AVAN_FISICO_SEM;SEC_FUNC;DEPARTAMENTO_META;PROVINCIA_META;DISTRITO_META;FUENTE_FINANC;RUBRO;CATEGORIA_GASTO;TIPO_TRANSACCION;GENERICA;SUBGENERICA;SUBGENERICA_DET;ESPECIFICA;ESPECIFICA_DET;MTO_PIA;MTO_MODIFICACIONES;MTO_PIM;MTO_CERTIFICADO;MTO_COMPRO_ANUAL;MTO_AT_COMP_01;MTO_AT_COMP_02;MTO_AT_COMP_03;MTO_AT_COMP_04;MTO_AT_COMP_05;MTO_AT_COMP_06;MTO_AT_COMP_07;MTO_AT_COMP_08;MTO_AT_COMP_09;MTO_AT_COMP_10;MTO_AT_COMP_11;MTO_AT_COMP_12;MTO_DEVENGA_01;MTO_DEVENGA_02;MTO_DEVENGA_03;MTO_DEVENGA_04;MTO_DEVENGA_05;MTO_DEVENGA_06;MTO_DEVENGA_07;MTO_DEVENGA_08;MTO_DEVENGA_09;MTO_DEVENGA_10;MTO_DEVENGA_11;MTO_DEVENGA_12;MTO_GIRADO_01;MTO_GIRADO_02;MTO_GIRADO_03;MTO_GIRADO_04;MTO_GIRADO_05;MTO_GIRADO_06;MTO_GIRADO_07;MTO_GIRADO_08;MTO_GIRADO_09;MTO_GIRADO_10;MTO_GIRADO_11;MTO_GIRADO_12;MTO_PAGADO_01;MTO_PAGADO_02;MTO_PAGADO_03;MTO_PAGADO_04;MTO_PAGADO_05;MTO_PAGADO_06;MTO_PAGADO_07;MTO_PAGADO_08;MTO_PAGADO_09;MTO_PAGADO_10;MTO_PAGADO_11;MTO_PAGADO_12
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;0124.MEJORA_DE_LA_PROVISION_DE_LOS_SERVICIOS_DE_TELECOMUNICACIONES;3.PRODUCTO;3000653.USUARIOS_PROTEGIDOS_EN_SUS_DERECHOS;5.ACTIVIDAD;5005017.SUPERVISION_AL_CUMPLIMIENTO_DE_LA_NORMATIVA_DEL_USUARIO;16.COMUNICACIONES;010.EFICIENCIA_DE_MERCADOS;0018.EFICIENCIA_DE_MERCADOS;1;0135554.SUPERVISION_AL_CUMPLIMIENTO_DE_LA_NORMATIVA_DEL_USUARIO;00303.SUPERVISION_REALIZADA;336;132;416;158;6;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;1.PERSONAL_Y_OBLIGACIONES_SOCIALES;1.RETRIBUCIONES_Y_COMPLEMENTOS_EN_EFECTIVO;9.GASTOS_VARIABLES_Y_OCASIONALES;1.ESCOLARIDAD,_AGUINALDOS_Y_GRATIFICACIONES;1.GRATIFICACIONES;236582;0;236582;198739.17;198739.17;0;0;0;3781.62;0;0;94601.86;0;0;0;0;100355.69;0;0;0;3781.62;0;0;94601.86;0;0;0;0;100355.69;0;0;0;3781.62;0;0;94601.86;0;0;0;0;100355.69;0;0;0;3781.62;0;0;94601.86;0;0;0;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;0124.MEJORA_DE_LA_PROVISION_DE_LOS_SERVICIOS_DE_TELECOMUNICACIONES;3.PRODUCTO;3000653.USUARIOS_PROTEGIDOS_EN_SUS_DERECHOS;5.ACTIVIDAD;5005018.SOLUCION_DE_QUEJAS_Y_APELACIONES,_Y_SANCIONES_POR_INCUMPLIMIENTO_DE_RESOLUCIONES;16.COMUNICACIONES;010.EFICIENCIA_DE_MERCADOS;0018.EFICIENCIA_DE_MERCADOS;1;0135555.SOLUCION_DE_QUEJAS_Y_APELACIONES,_Y_SANCIONES_POR_INCUMPLIMIENTO_DE_RESOLUCIONES;00053.EXPEDIENTE_RESUELTO;190000;24000;225904;105860;7;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;3.BIENES_Y_SERVICIOS;2.CONTRATACION_DE_SERVICIOS;5.ALQUILERES_DE_MUEBLES_E_INMUEBLES;1.ALQUILERES_DE_MUEBLES_E_INMUEBLES;4.DE_MAQUINARIAS_Y_EQUIPOS;0;3500;3500;2800;2800;0;0;0;0;0;2800;0;0;0;0;0;0;0;0;0;0;0;0;2800;0;0;0;0;0;0;0;0;0;0;0;2800;0;0;0;0;0;0;0;0;0;0;2800;0;0;0;0;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;0124.MEJORA_DE_LA_PROVISION_DE_LOS_SERVICIOS_DE_TELECOMUNICACIONES;3.PRODUCTO;3000653.USUARIOS_PROTEGIDOS_EN_SUS_DERECHOS;5.ACTIVIDAD;5005018.SOLUCION_DE_QUEJAS_Y_APELACIONES,_Y_SANCIONES_POR_INCUMPLIMIENTO_DE_RESOLUCIONES;16.COMUNICACIONES;010.EFICIENCIA_DE_MERCADOS;0018.EFICIENCIA_DE_MERCADOS;1;0135555.SOLUCION_DE_QUEJAS_Y_APELACIONES,_Y_SANCIONES_POR_INCUMPLIMIENTO_DE_RESOLUCIONES;00053.EXPEDIENTE_RESUELTO;190000;24000;225904;105860;7;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;1.PERSONAL_Y_OBLIGACIONES_SOCIALES;1.RETRIBUCIONES_Y_COMPLEMENTOS_EN_EFECTIVO;9.GASTOS_VARIABLES_Y_OCASIONALES;1.ESCOLARIDAD,_AGUINALDOS_Y_GRATIFICACIONES;1.GRATIFICACIONES;188404;0;188404;154414.52;154414.52;0;0;0;0;0;11195.41;71980.8;0;1235.33;0;0;70002.98;0;0;0;0;0;11195.41;71980.8;0;1235.33;0;0;70002.98;0;0;0;0;0;11195.41;71980.8;0;1235.33;0;0;70002.98;0;0;0;0;0;11195.41;71980.8;0;1235.33;0;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;0124.MEJORA_DE_LA_PROVISION_DE_LOS_SERVICIOS_DE_TELECOMUNICACIONES;3.PRODUCTO;3000653.USUARIOS_PROTEGIDOS_EN_SUS_DERECHOS;5.ACTIVIDAD;5005018.SOLUCION_DE_QUEJAS_Y_APELACIONES,_Y_SANCIONES_POR_INCUMPLIMIENTO_DE_RESOLUCIONES;16.COMUNICACIONES;010.EFICIENCIA_DE_MERCADOS;0018.EFICIENCIA_DE_MERCADOS;1;0135555.SOLUCION_DE_QUEJAS_Y_APELACIONES,_Y_SANCIONES_POR_INCUMPLIMIENTO_DE_RESOLUCIONES;00053.EXPEDIENTE_RESUELTO;190000;24000;225904;105860;7;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;3.BIENES_Y_SERVICIOS;2.CONTRATACION_DE_SERVICIOS;2.SERVICIOS_BASICOS,_COMUNICACIONES,_PUBLICIDAD_Y_DIFUSION;4.SERVICIO_DE_PUBLICIDAD,_IMPRESIONES,DIFUSION_E_IMAGEN_INSTITUCIONAL;4.SERVICIO_DE_IMPRESIONES,_ENCUADERNACION_Y_EMPASTADO;2000;2514;4514;4513.61;4513.61;1905.67;0;1905.67;0;702.27;0;0;0;0;0;0;0;0;1905.85;0;0;1913.05;694.89;0;0;-0.18;0;0;0;0;1848.67;57;0;1848.67;759.27;0;0;0;0;0;0;1905.67;0;1905.67;0;702.27;0;0;0;0;0;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;0124.MEJORA_DE_LA_PROVISION_DE_LOS_SERVICIOS_DE_TELECOMUNICACIONES;3.PRODUCTO;3000652.EMPRESAS_OPERADORAS_CUENTAN_CON_MECANISMOS_PARA_BRINDAR_ESQUEMAS_TARIFARIOS_ACCESIBLES_AL_USUARIO;5.ACTIVIDAD;5005015.INVESTIGACIONES_PRELIMINARES_Y_SOLUCION_DE_CONTROVERSIAS;16.COMUNICACIONES;010.EFICIENCIA_DE_MERCADOS;0018.EFICIENCIA_DE_MERCADOS;1;0135552.INVESTIGACIONES_PRELIMINARES_Y_SOLUCION_DE_CONTROVERSIAS;00053.EXPEDIENTE_RESUELTO;10;2;12;0;4;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;3.BIENES_Y_SERVICIOS;2.CONTRATACION_DE_SERVICIOS;1.VIAJES;2.VIAJES_DOMESTICOS;99.OTROS_GASTOS;1300;-1000;300;76;76;0;0;0;0;0;0;6;0;30;40;0;0;0;0;0;0;0;0;6;0;30;40;0;0;0;0;0;0;0;0;6;0;30;40;0;0;0;0;0;0;0;0;6;0;30;40;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;0124.MEJORA_DE_LA_PROVISION_DE_LOS_SERVICIOS_DE_TELECOMUNICACIONES;3.PRODUCTO;3000652.EMPRESAS_OPERADORAS_CUENTAN_CON_MECANISMOS_PARA_BRINDAR_ESQUEMAS_TARIFARIOS_ACCESIBLES_AL_USUARIO;5.ACTIVIDAD;5005015.INVESTIGACIONES_PRELIMINARES_Y_SOLUCION_DE_CONTROVERSIAS;16.COMUNICACIONES;010.EFICIENCIA_DE_MERCADOS;0018.EFICIENCIA_DE_MERCADOS;1;0135552.INVESTIGACIONES_PRELIMINARES_Y_SOLUCION_DE_CONTROVERSIAS;00053.EXPEDIENTE_RESUELTO;10;2;12;0;4;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;3.BIENES_Y_SERVICIOS;2.CONTRATACION_DE_SERVICIOS;2.SERVICIOS_BASICOS,_COMUNICACIONES,_PUBLICIDAD_Y_DIFUSION;3.SERVICIOS_DE_MENSAJERIA,_TELECOMUNICACIONES_Y_OTROS_AFINES;1.CORREOS_Y_SERVICIOS_DE_MENSAJERIA;0;200;200;55;55;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;9001.ACCIONES_CENTRALES;3.PRODUCTO;3999999.SIN_PRODUCTO;5.ACTIVIDAD;5000004.ASESORAMIENTO_TECNICO_Y_JURIDICO;16.COMUNICACIONES;006.GESTION;0008.ASESORAMIENTO_Y_APOYO;1;0083649.ASESORAMIENTO_LEGAL_Y_JURIDICO;00155.PORCENTAJE;180;180;186;184;14;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;3.BIENES_Y_SERVICIOS;2.CONTRATACION_DE_SERVICIOS;3.SERVICIOS_DE_LIMPIEZA,_SEGURIDAD_Y_VIGILANCIA;1.SERVICIOS_DE_LIMPIEZA,_SEGURIDAD_Y_VIGILANCIA;1.SERVICIOS_DE_LIMPIEZA_E_HIGIENE;14004;-618;13386;13384.35;13384.35;1075.12;0;0;12309.23;0;0;0;0;0;0;0;0;0;0;0;0;4032.49;985.78;985.79;0;0;0;0;7380.29;0;0;0;0;3046.7;1971.57;0;985.79;0;0;0;7380.29;1075.12;0;0;12309.23;0;0;0;0;0;0;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;9001.ACCIONES_CENTRALES;3.PRODUCTO;3999999.SIN_PRODUCTO;5.ACTIVIDAD;5000004.ASESORAMIENTO_TECNICO_Y_JURIDICO;16.COMUNICACIONES;006.GESTION;0008.ASESORAMIENTO_Y_APOYO;1;0083649.ASESORAMIENTO_LEGAL_Y_JURIDICO;00155.PORCENTAJE;180;180;186;184;14;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;1.PERSONAL_Y_OBLIGACIONES_SOCIALES;1.RETRIBUCIONES_Y_COMPLEMENTOS_EN_EFECTIVO;9.GASTOS_VARIABLES_Y_OCASIONALES;1.ESCOLARIDAD,_AGUINALDOS_Y_GRATIFICACIONES;3.BONIFICACION_POR_ESCOLARIDAD;3600;0;3600;3600;3600;3600;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;9001.ACCIONES_CENTRALES;3.PRODUCTO;3999999.SIN_PRODUCTO;5.ACTIVIDAD;5000004.ASESORAMIENTO_TECNICO_Y_JURIDICO;16.COMUNICACIONES;006.GESTION;0008.ASESORAMIENTO_Y_APOYO;1;0083649.ASESORAMIENTO_LEGAL_Y_JURIDICO;00155.PORCENTAJE;180;180;186;184;14;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;6.GASTOS_DE_CAPITAL;2.GASTOS_PRESUPUESTARIOS;6.ADQUISICION_DE_ACTIVOS_NO_FINANCIEROS;6.ADQUISICION_DE_OTROS_ACTIVOS_FIJOS;1.ADQUISICION_DE_OTROS_ACTIVOS_FIJOS;3.ACTIVOS_INTANGIBLES;2.SOFTWARES;0;4247;4247;4247;4247;0;0;0;0;0;0;0;0;0;4247;0;0;0;0;0;0;0;0;0;0;0;0;4247;0;0;0;0;0;0;0;0;0;0;0;0;4247;0;0;0;0;0;0;0;0;0;4247;0;0
2017;20230524;01._PRESIDENCIA_CONSEJO_MINISTROS;019._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;001._ORGANISMO_SUPERVISOR_DE_LA_INVERSION_PRIVADA_EN_TELECOMUNICACIONES;1265;9001.ACCIONES_CENTRALES;3.PRODUCTO;3999999.SIN_PRODUCTO;5.ACTIVIDAD;5000004.ASESORAMIENTO_TECNICO_Y_JURIDICO;16.COMUNICACIONES;006.GESTION;0008.ASESORAMIENTO_Y_APOYO;1;0083649.ASESORAMIENTO_LEGAL_Y_JURIDICO;00155.PORCENTAJE;180;180;186;184;14;15.LIMA;01.LIMA;30.SAN_BORJA;2.RECURSOS_DIRECTAMENTE_RECAUDADOS;09.RECURSOS_DIRECTAMENTE_RECAUDADOS;5.GASTOS_CORRIENTES;2.GASTOS_PRESUPUESTARIOS;3.BIENES_Y_SERVICIOS;2.CONTRATACION_DE_SERVICIOS;8.CONTRATO_ADMINISTRATIVO_DE_SERVICIOS;1.CONTRATO_ADMINISTRATIVO_DE_SERVICIOS;2.CONTRIBUCIONES_A_ESSALUD_DE_C.A.S.;2592;-100;2492;2187;2187;218.7;218.7;218.7;218.7;218.7;218.7;218.7;218.7;109.35;109.35;109.35;109.35;218.7;218.7;218.7;218.7;218.7;218.7;218.7;218.7;109.35;109.35;109.35;109.35;0;218.7;218.7;218.7;218.7;218.7;218.7;218.7;218.7;109.35;109.35;218.7;218.7;218.7;218.7;218.7;218.7;218.7;218.7;218.7;109.35;109.35;109.35;109.35
