NRO_ORDEN;FECHA_ORDEN;FECHA_RECEP;NRO_RUC;NOMBRE_PROVEEDOR;PRODUCTO;UNIDAD_DE_MEDIDA;CANTIDAD;PRECIO_UNITARIO;PRECIO_TOTAL;CATEGORIA;DEPENDENCIA
166;9/07/2021;13/07/2021;20256136865;SERVICIOS_POSTALES_DEL_PERU_SOCIEDAD_ANONIMA;TRIPTICO_INFORMATIVO;UNIDAD;150;16;2400;_DIFUSION_DE_LOS_PRODUCTOS_SERVICIOS_Y_ACTIVIDADES_DE_LA_BIBLIOTECA_NACIONAL_DEL_PEROö_;OFICINA_DE_COMUNICACIONES
238;16/09/2021;21/09/2021;20545913811;T&G_INFORMATICA_SAC;DISCO_DURO_EXTERNO_DE_2_TB;UNIDAD;2;1200;2400;_DIFUSION_DE_LOS_PRODUCTOS_SERVICIOS_Y_ACTIVIDADES_DE_LA_BIBLIOTECA_NACIONAL_DEL_PEROö;OFICINA_DE_COMUNICACIONES
256;16/11/2020;19/11/2020;20604021813;INSPIRA_SECURE_TECHNOLOGY_SAC;SISTEMA_DE_PROTECCION_Y_SEGURIDAD_PARA_RED_-_FIREWALL_UTM;UNIDAD;;141531;141531;GERENCIA_PERMANENTE;OFICINA_DE_TECNOLOGIA_DE_LA_INFORMACION_Y_ESTADISTICA
102;11/08/2020;12/08/2020;20604670854;D.I._CONSULTING_SOLUTION_INTEGRATOR_EIRL;SOFTWARE_(INC._LICENCIA)_SERVIDOR_DE_APLICACIONES;UNIDAD;1;119887.2;119887.2;GERENCIA_PERMANENTE;OFICINA_DE_TECNOLOGIA_DE_LA_INFORMACION_Y_ESTADISTICA
5;6/02/2020;13/03/2020;20100176450;SOLGAS_SA;GAS_LICUADO_PETROLEO;GALON;23380;4.14181;96835.52;GERENCIA_PERMANENTE;OFICINA_DE_ADMINISTRACION
37;11/08/2022;;20100176450;SOLGAS_SA;GAS_LICUADO_PETROLEO;GALON;10400;7.450638;77486.64;GESTION_DE_LOS_SERVICIOS_DE_PISCINA_Y_AUDITORIO;
4;30/01/2022;17/03/2022;20100176450;SOLGAS_SA;GAS_LICUADO_PETROLEO;GALON;9229.09;7.8523;72469.58;GESTION_DE_LOS_SERVICIOS_DE_PISCINA_Y_AUDITORIO;
307;16/12/2021;23/12/2021;20573327196;ATLANTA_TECHNOLOGIES_CENTER_EMPRESA_INDIVIDUAL_DE_RESPONSABILIDAD_LIMITADA;UNIDAD_CENTRAL_DE_PROCESO_-_CPU_2.90_Ghz_RAM_16_GB_ALMACENAMIENTO_1_TB_+_TECLADO;UNIDAD;10;6849.499;68494.99;GESTION_DEL_MATERIAL_BIBLIOGRAFICO_DOCUMENTAL_ADQUIRIDO_POR_COMPRA;DIRECCION_DE_GESTION_DE_LAS_COLECCIONES
306;16/12/2021;23/12/2021;20573327196;ATLANTA_TECHNOLOGIES_CENTER_EMPRESA_INDIVIDUAL_DE_RESPONSABILIDAD_LIMITADA;UNIDAD_CENTRAL_DE_PROCESO_-_CPU_2.90_Ghz_RAM_16_GB_ALMACENAMIENTO_1_TB_+_TECLADO;UNIDAD;10;6849.499;68494.99;ORGANIZACION_Y_CUSTODIA_DEL_MATERIAL_BIBLIOGROÅFICO_DOCUMENTAL_EN_REPOSITORIOS;DIRECCION_DE_PROTECCION_DE_LAS_COLECCIONES
244;28/09/2021;6/10/2021;20602804080;REBEL_QUEEN_S.A.C.;UNIDAD_CENTRAL_DE_PROCESO_-_CPU_ESTACION_DE_TRABAJO_3.70_Ghz_RAM_32_GB_ALMACENAMIENTO_1_TB_+_TECLADO;UNIDAD;;9735.601;68149.21;GESTION_DE_LA_OPERATIVIDAD_DE_LOS_SERVICIOS_INFORMOÅTICOS_DE_LA_INSTITUCION;OFICINA_DE_TECNOLOGIA_DE_LA_INFORMACION_Y_ESTADISTICA
